key_cliente;key_tempo;key_localidade;qty_vendas;quantity;amount;cost;total_amount
6f3243d467d80d2eca5ccaf7353fc64904ddd9fe35b17c48f85f0dffd2a80d4f;083bd7e1c0c96afc9e0ff43677eb79ec9d8dc8a703370c6e09cbc9308cf8f7b6;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;1;7;1106.29;753.66;352.63
c05f4fab5b621d87a3249c9427195c4237a95695c0d9506ddb7dbf9b49c876e7;ed633093c56bb128e84ef773639e06129e2070b11674fca54eb404a4b908f8e9;ea869dc430585a045a2a04583a9c9f6d5dbff50ff3dad6ea0beb9cf7cc1e25ab;1;14;2775.25;1956.3;818.95
f82b865b2c4096df8c4555126e39a89b638928dc79b9fe5e2956a98159536bd2;2b1713e1d7ab07a571cc2a6ac7faf3d7b2d05f5de713315c3157e5006b523573;c70973293bdfaf482740a19c65e8ac40e9521516e78b13ac7ad3dc7ffe37cf66;3;47;24124.67;941.54;23183.13
705a491144a7c8beb562a4eccae9f2bc4e5aedd6547bd84c8bc95b103f178d6f;940df98f708855b4d81bfc24803b3326473f9c351854b4c0c78df283057a3090;b1ed801ef9c03f7826864f75d63c021b8d83c47303d8ce9d7dd670d49809915b;1;8;2367.24;1147.51;1219.73
cda439754ce6b95ee0c5bcb0ef4f75d10939a52610dda55193e12e60b416ac91;3a1c42cb9f947f3cafc407509102d8d401e23f268336d866c79ca637a578652b;70439f5e6c16a822408d109346f2456022c79f5b256749da83341341f9219f42;2;275;47090.12;22463.29;24626.83
1599d16f9944bf30ce22b9f822d1b20454737932109c193238e8dedd2cf097ba;ed633093c56bb128e84ef773639e06129e2070b11674fca54eb404a4b908f8e9;a5434df12c71e006cd367459a6129160ce1e1bafe112aec05edb0d3242453516;1;1000;417.15;340.1;77.05
c0267e903875ae9c141755f77597c462e1ed120ff387b37d5089b40b5e243ca6;780201c23a8a7416c8c0029d79014ee44e451dda34b516296c766a324ce0776a;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;5;179;35418.8;20737.1;14681.7
cda439754ce6b95ee0c5bcb0ef4f75d10939a52610dda55193e12e60b416ac91;e643c35cde5576756712cf9db367f2f5482e9e41d4027df34561625f42a352cf;70439f5e6c16a822408d109346f2456022c79f5b256749da83341341f9219f42;1;28;3735.48;2980.43;755.05
8d963dc1d1559127c5b1c884f8cf77ecb4493d28118284b435992c1ab2137199;c02c695610a484483ca63ba4dbc6ebcdfd0a7f76cc65c82335f3d9674cddc4fa;2b1b5c9f2ae4ea20dc7fbc2e4200293a630f149d23acb46c25ebf4cec4638242;1;6;794.88;0.0;794.88
bd7c50980eea22b8e75ff59a98434d2ae7b08dc55267486cf06abe14cf89a891;3c71d3fe02cb504e38680eb3e5e901fe3c8c1cf4864699c09c0b22d05827deea;7313df593c9e87c78eb8e7391177189a5c811db5796ec544d3027d33afcce029;2;44;15734.93;11830.67;3904.26
d8232b81a2d43e0761b91db8d7ee0e84766c7655b361fb1080588182dd92008f;adeafe3e4623f6e4b68cddc635a3780a25fb193687bde55fbdf62357414319e1;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;1;2;603.27;335.5;267.77
6a0b79183a723ae662b6819a3f48b625a01affc0307dedbefdf48ef5e027ae8e;57ce4740c589e02b979ca24dc3978ac46d051015c5dada829537b58549af5c86;e8ad62cc56cc881fd5879d93b417a182fa56fef900c2e1cb5c028bb064a16894;2;35;2142.99;1492.61;650.38
47cb3adfe71ae32ebb1ad1283900a51156873795ceee3d55f2d7acb14d23fefe;9fb8f21a1b69cb46cf31cd746038e3821af66e3b7fccdfcc9c5c37c842da232c;8a1e8af79b1c6dad8f4802c938fcc6ae2a1b433f057b7446a19319f8a3c4968b;1;1;787.12;546.44;240.68
561e20e574c1c7b17b93ee70bd3dffa933836e2a65191cdff534d88d86dc49e9;61cee32b36ee0b3017a7e24d40e85c6c8161a635264a3542759c30985675a1fc;33906ae182b15fdbb09705ec68b6385a3d9f97bd4a3110b282f8face63346e9a;2;4;743.85;474.16;269.69
62e8ab5dcc032474992d574073ee3e9a6960321c5a9c321546d1e6f2ffd9258c;878a7bfc84497820862473757729e3e2512f1bd583a88a0d44bdf958455d913b;faf7712ca407f7c61972022eff9cb72cdb5c0776cb1464f5c761f6dbf89c9bf1;1;1;791.41;449.69;341.72
d2a09d0b03dc0b614e2a280879c165323e5a786a4a018d081c88334f548f0e36;bcc6d6debc767a45081f51fe8839a54cb920b9ffaac918e33e2f0912b66cf992;4ca70e10ae81e6bacbd7423492dbc62412404e79ed3eb3826803a5b5e71cd165;3;20;4644.38;3060.83;1583.55
b1a6a4ef168c1aae8e8c0d0d80d63f42995bec35aac2427ca25bbf7a2369694b;f9f6044a10aea5892aa43df484f168607daeddbde5d8b02f4bc62a61a11e11ee;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;2;89;11665.59;6729.58;4936.01
0b0cbd15dfe5f1755679c75f491c90dacf58d846e448bc66d687c4faf840ded9;efe1ae9f04d6983dd5489d107343bf176cf3dd8feea503316d0e3a4fd82ec5c5;304e1ff8343e9ce3af729320a2c807641b533b1808bc511a990efa32ff2522e5;6;272;84946.74;50946.36;34000.38
6b1dd0423a3fffae433dac2fb056880c2e81ae802cd113e20b016eaebf76a420;9885b50a9c653332d79a6c8acc8d34b213563cd2ac69139f9923e4a4dd4ae9d4;64dbe575139f85def631c1d0301d161f25814ae6294397604d68bd2ba11034fb;1;5;1418.35;729.61;688.74
143805edd30e18a2da2ba8ebbd8068121e08d8db10db79c69f4d7daf5509d26f;9aeb5233f6da78bde05162c1626813c6e036d78f8e5fdd2e73628e1d10760391;5b59dfbbd480a41ad7f2eb1dfc3596f11f8e9e6d635b59a1121338bc7bf4139f;2;4;879.85;423.86;455.99
f8cf7063c2a15a77c2161f9f17c58d4afbf6e6c8b49ad1bfb9977260db9cff79;b1983f73248e7f676a8ca754c363c965d5e8bf1781b2c44058dc56f640b1c4c4;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;2;2;890.86;559.26;331.6
cbcd7c1e45788da1519dc9bdfedde96b64d864e03ed3543fcd113298b8daa136;5a7a2a99467e0f2f72045d630f48d82e6e7f9394f9efdd1e3fca728df45b863a;fe6f132c769148b5d2ea0f7190fb4ce68a2e3024d8c091d2eb19678da379301a;1;31;4024.22;1981.43;2042.79
3853339e4810724fad102c6852900bffed472d93b19b4e7c2a8ee951d586941f;51cd1f3230268df63bef61addd0f7777e8f27dabe92b8c1382bcd9fefcefbeea;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;3;18;4066.5;2210.88;1855.62
0817bc3afd5eaa510584f13b9d73fc6119e0f4eb79122844983959d68947cfeb;dd0d058b893677942933074baac98d5f6f992acf2083e1bb3f51368c9321b64f;62f7a22a10342408fc19c1e812620420cea2733c18c2bf34afb45f243a25159e;1;8;3063.63;1721.92;1341.71
d2a09d0b03dc0b614e2a280879c165323e5a786a4a018d081c88334f548f0e36;53522fca05aae3be83d7ccf2426ed882f364e517fcf7d6b9e68fc0170f18bb6f;4ca70e10ae81e6bacbd7423492dbc62412404e79ed3eb3826803a5b5e71cd165;3;33;8859.09;4943.21;3915.88
ecb8227ad9024dc81e602d5a7127fa4bad6bba086d18cade0949c0548048a46b;c08dd6b01a694f9bbbbeadd4cebdb5237527c233cc3ae3ed87d6903419aabdf6;b25d69dfcfa9fbe8b344452704da216ad2b16fd29cb04bf1f8622bdc9f76d739;1;95;34213.04;20978.74;13234.3
3a3e870a40ebe3d013c6746d52d3d08259fcc1e068aed8a869ad21030f481698;c0dbc316c2f429ef56c758307111fd33765742875d0930986c2a9ea7434b70d2;c8731a03712fddd98e7a763ef9ff57ff813abcbf1b16221c29c14f4b0645cd15;1;2;349.31;156.24;193.07
bbbd109eaf54b3d2d22a70da9d0238983946470b67e501bffa99c5d121beb284;2ad3453dbd4dc42312953b22c32e0ffbc79937195fec9114ecafe1d2d332b82e;9a776622bd0c0e28a2051d656f1cebb2c65d4827a4ae6e770d3f1bfd73aa6b80;1;8;4984.0;3912.85;1071.15
e7a8e7e7bffd50b91d8b47b2a7b4bffba4fce1f7547cd67813099f63c52bcffc;79040346030d1197069644c136c0bc99aaa0943ea3c9dd0637847026c9026704;0d57a97909fb63c88098ae158e08995f28d7b640b9029bda19ea0b8f1a802519;4;6;2001.43;1062.37;939.06
d2a09d0b03dc0b614e2a280879c165323e5a786a4a018d081c88334f548f0e36;74e40190ecf8856c52cd1d797ac774f5dc998ea8e2dc38ab17e4be0ebcaabb9d;4ca70e10ae81e6bacbd7423492dbc62412404e79ed3eb3826803a5b5e71cd165;6;125;25854.61;16198.72;9655.89
ee6ba69159456eca1c047e1fdcb2af24d33a532119cf2b73a896a95674bc3386;eb9bcad1ff7d36ee88ff15c4bc1dbbc3330d99d1e4b09a042e04a49fc334da52;bc1188144819ccf2ce8a537ceb9da314c4e455c104baf592e61bc68907cbcb78;2;4;507.26;312.25;195.01
cdf886e8aa8844d1eea56c80023f7ea742a1a8f9a445baa29f7c4133429f0232;e10cfed5b0cf4d8907d21f98a0209efd48a0c0619fdc0da7a113dbf2383df481;83b4350d4e8417204c6f07b0627b601465a49791717da38494acdc323aa5f150;1;50;2487.03;0.0;2487.03
15b72b9f05ff5f08b4d10be757fd43c71cfb2655383c4d6c28cf0a69fc943144;f91eb0463bae164718ce9ba77e68d15dba7564d6e2fcece76793544ccc6e1979;2521d482de11e7448df54577a48e59b4ae628f0879ab3ac3843781be2d0d4765;1;415;19638.53;12305.82;7332.71
00570f68fabe3f6f0692c626f62a76a49560b8196ef91ea1af70c35f3cd19fb6;4f924e65487116e9cae07b69ea4336cdf93a213394da3ee2954e04969fcecef8;76339cb7d3d66f29a672829e63ee9532147c254a42949df90e054a2eac7429d2;3;4;2706.15;1157.15;1549.0
1560cbde8380c9e06051c15803c143e4187d74b696b6d30b83bbf54377100d05;53c77ccb4873f4b9eb208aaa8831499f3a58027df2aeaca0c38feb9b13034e46;f8d3284da4226fbd22ba78047b8713246da9d9f7017728327b431ce88ef14c94;1;2;552.94;498.59;54.35
9f1ba97eabb954876830a5e0372fe607602bea6424bd14556b271e6690da8468;5e039c3c92a15eae28ca590e80a04594bc34a1a1f7e46e9318ff7e3cbf84b580;7bb2a26311bd0abb6b8315f3e858b0f2c14a9efc08f70950bb521bc307a50662;1;10;4690.02;2616.51;2073.51
4a7b4d5c4c387e7c7596a80fee2bd27e2f576d06ddbf47c0c8db1e16bc8456f4;bb4338a08770fa4f1f2a86ec188e7eaef1c6f68d43dcc9f4028acabb346511eb;05446edd7575998b294a944b11a05045d907f34fa580ad83abdde013c03cf6f9;1;1;791.41;449.69;341.72
0b112f9265ae7f2feb43073f6e40a7c44cdbdcf93a166a2f19aef2becb98eaaa;d7d7c25fc346c159a55fab95b630be2231360f81e4b2120cf86b39ec65cf3236;4ed656e033873f74b1a624e145b89add396c46f51f866711e8f1ef36e911e380;1;1000;388.8;340.1;48.7
a2cb98db5b9fedc8eea0a710feab4d74e738a4520eb7f758be42ab8fb541b8c0;4183ffa041051891f99ffb22f7ebfd83137237a021970806b218172ff09f473f;d17a1fcb93ec954b330dc09888ce3376fb0b0ea72906016f67a20275705f11be;2;278;35755.65;20980.04;14775.61
2449fb8862e60e52498dc0b1398b4dcac2cc60014a12a3cac291089614b3534c;fb9117969b8e4e9bdc01df0102de6e4086d11405934723c62afa0626ce570dc5;dc709ea0ffb035baadd2557edab4112806f80b12ddcc03061806fc9a78bac3ed;1;1;422.28;465.28;-43.0
b8f78773632161ea09ef13dd523d13252684b751b840c0a25df0efe5d8857b9a;48ca8dd2eb70ba3073f20d52baffcb9292d682f4bea4c7697536cc8f8fc5f961;25cb654fc839d4c3f34398a88608b3a3deaea3487584806d97db8839aee78c7e;1;1;210.52;90.58;119.94
36ae5944533d59e8c416b536dcaa132fd5adb37b045d303bc977f346f7e5df15;2124ec2fd1ad41e7c323fe7616b96da37638dc472ce773eea5a776028762c6ee;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;3;4;889.01;731.33;157.68
5e73b6a9557454de634cf0f9feea304fedf7369622abee8e12dc6f015d3bd2fc;e5303a8c586756c0f634aae5232fb3a4e14130d520ab7179e5d13a4debaa7f62;a442b7b87b694e4952c413bc712975c4667cdee5dac6014bf4cd7e77cf8bacfa;2;8;1232.29;621.36;610.93
d0a2b3f98782d3a03cd4f7f8832dd728b62ab2abc99e961f405ade34bd8e8aa0;61cee32b36ee0b3017a7e24d40e85c6c8161a635264a3542759c30985675a1fc;760a81d30913befef2e13373a8600a56106fd7f240e255edff3be2ceb2f94261;1;9;3820.44;1972.53;1847.91
6fc94f37fb6ad00c1c68f122c32a4078f6a82699735b935d0ce5d6d7a84d3359;dd401a8f640b1c41b1f756d3bea66c2eeac6d6536207c71acdabf26e1684e3cb;53c5785493bc683c6ba59d4b84190bfc0e4c69652fcd21a6ae0488eb92b6ac66;3;13;5868.75;2579.05;3289.7
4b8702808404b3a0ec1ac16cedd8f35e016301b0176ee57c021b37fe10143211;d3937cc7e3b32a6c2ad95c436bb8dcd1a1ca85de191f34c90190fb646141eee7;c0ec9112940a10c24abda760425c71a867c0c31b1b41055a477c3db62dcca4fa;1;1;748.75;544.73;204.02
